,Unnamed: 0,total_score,InterfaceRes,Interface_hbond_count,SASA,SASA_hydrophobic,SASA_polar,Sc,contact_surf,ddg,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,sugar_SASA,sugar_SASA_hydrophobic,sugar_SASA_polar,sugar_bb,yhh_planarity,Ligand,Pose
554,554,-415.604,6.0,2.0,554.465,244.229,311.757,0.41,83.436,-11.784,0.0,-789.668,152.174,-240.687,1.385,16.901,31.595,80.183,478.806,-35.797,-51.585,-24.689,-25.846,-17.804,12.479,-25.139,0.336,-8.035,26.759,375.373,109.941,265.431,2.766,0.261,S6I2,7
555,555,-415.793,7.0,2.0,597.956,255.841,343.636,0.42,89.175,-14.113,0.0,-787.946,150.754,-246.867,1.374,16.752,31.024,83.451,477.327,-32.262,-51.112,-26.236,-25.778,-15.977,11.92,-25.296,0.329,-7.232,26.759,366.728,108.835,257.893,2.74,0.482,S6I2,7
556,556,-414.617,5.0,1.0,477.682,228.542,250.66,0.445,74.921,-11.585,0.0,-783.734,149.834,-240.294,1.387,16.639,30.349,82.248,471.43,-31.881,-50.991,-25.436,-25.68,-16.242,10.523,-24.854,0.286,-8.214,26.759,422.249,105.406,316.995,2.746,0.506,S6I2,7
557,557,-415.935,7.0,2.0,575.494,231.313,345.701,0.468,96.908,-14.391,0.0,-791.585,155.572,-248.61,1.386,17.197,30.987,82.223,479.925,-30.776,-51.335,-29.312,-26.198,-15.23,13.877,-25.503,0.362,-8.731,26.759,376.797,113.579,263.217,2.765,0.291,S6I2,7
558,558,-408.217,7.0,1.0,475.6,200.598,275.459,0.505,74.307,-4.724,0.0,-789.218,151.76,-233.951,1.384,16.794,34.638,81.439,475.011,-34.53,-51.422,-22.6,-25.806,-17.403,12.178,-25.178,0.302,-10.111,26.759,403.189,105.645,297.696,1.322,0.413,S6I2,7
559,559,-410.732,5.0,1.0,576.179,227.853,349.846,0.361,87.241,-14.886,0.0,-791.589,154.256,-247.805,1.392,17.541,30.99,85.659,478.512,-32.404,-50.852,-25.467,-25.607,-14.886,13.41,-25.168,0.33,-8.958,26.759,382.82,106.298,276.522,2.775,0.381,S6I2,7
560,560,-417.962,9.0,2.0,558.008,249.526,310.002,0.659,108.26,-12.678,0.0,-793.135,152.585,-242.001,1.378,16.792,31.408,81.476,481.452,-35.83,-52.667,-26.222,-26.078,-15.361,11.077,-24.79,0.322,-8.12,26.759,377.843,98.493,279.349,2.831,0.162,S6I2,7
561,561,-417.65,7.0,2.0,572.024,230.601,342.944,0.468,93.701,-14.236,0.0,-790.468,154.888,-244.956,1.373,16.781,30.88,80.971,480.688,-33.97,-51.988,-28.097,-25.801,-16.567,11.82,-24.832,0.344,-8.417,26.759,371.859,108.071,263.788,2.769,0.172,S6I2,7
562,562,-420.723,7.0,2.0,570.175,231.373,340.322,0.461,92.228,-14.24,0.0,-791.73,152.604,-247.382,1.381,16.683,31.435,80.828,480.492,-35.611,-52.026,-26.51,-26.074,-15.189,11.632,-24.885,0.33,-6.404,26.759,378.575,111.3,267.276,2.777,0.165,S6I2,7
563,563,-416.752,7.0,2.0,575.164,207.478,369.206,0.549,94.817,-13.595,0.0,-787.646,150.985,-247.116,1.386,17.009,31.507,83.262,476.956,-34.492,-51.055,-25.693,-25.671,-15.233,12.763,-25.569,0.37,-8.507,26.759,386.245,116.673,269.572,2.746,0.488,S6I2,7
