,total_score,InterfaceRes,Interface_hbond_count,SASA,SASA_hydrophobic,SASA_polar,Sc,contact_surf,ddg,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,sugar_SASA,sugar_SASA_hydrophobic,sugar_SASA_polar,sugar_bb,yhh_planarity,description,Ligand,Pose,Run
605,-406.349,5.0,2.0,443.01,198.691,245.839,0.58,70.672,-8.698,0.0,-782.154,152.687,-239.994,1.432,17.242,34.056,83.443,468.93,-30.207,-50.446,-28.46,-26.702,-12.255,12.797,-25.837,0.287,-8.466,26.759,407.303,102.746,304.556,0.196,0.342,rel_I2S3_out_4_4_complex_0002,I2S3,4,0002
606,-405.867,3.0,1.0,397.412,174.156,224.776,0.62,68.677,-10.395,0.0,-787.134,153.414,-241.675,1.44,17.005,34.082,84.352,473.744,-30.446,-50.884,-28.045,-26.516,-12.966,13.672,-25.161,0.313,-8.247,26.759,449.441,130.368,319.073,0.21,0.216,rel_I2S3_out_4_4_complex_0003,I2S3,4,0003
607,-392.927,3.0,1.0,281.496,157.734,123.761,0.576,41.077,-3.862,0.0,-788.937,154.837,-228.519,1.465,17.942,34.975,85.151,475.449,-33.541,-51.902,-24.073,-26.601,-17.211,11.839,-24.923,0.308,-8.827,26.759,455.767,132.212,323.555,2.637,0.246,rel_I2S3_out_4_4_complex_0004,I2S3,4,0004
608,-410.881,3.0,1.0,499.906,222.315,278.655,0.474,76.587,-7.659,0.0,-789.973,151.92,-240.322,1.433,16.684,35.026,80.491,478.826,-33.054,-52.082,-24.505,-26.56,-15.911,12.998,-25.212,0.296,-8.224,26.759,390.099,117.754,272.344,0.359,0.17,rel_I2S3_out_4_4_complex_0005,I2S3,4,0005
609,-412.234,3.0,1.0,408.701,183.052,227.169,0.486,72.528,-9.73,0.0,-787.343,149.988,-243.432,1.433,16.876,34.7,83.827,474.975,-32.263,-51.263,-24.816,-26.12,-14.36,11.829,-25.347,0.313,-8.669,26.759,429.744,130.008,299.736,0.181,0.497,rel_I2S3_out_4_4_complex_0006,I2S3,4,0006
610,-411.019,3.0,1.0,383.035,153.288,230.659,0.347,60.551,-7.754,0.0,-789.994,155.777,-242.627,1.445,17.042,35.58,81.459,473.512,-33.723,-51.221,-22.319,-26.531,-15.067,12.385,-25.016,0.3,-9.73,26.759,457.489,151.415,306.073,0.335,0.618,rel_I2S3_out_4_4_complex_0007,I2S3,4,0007
611,-409.236,3.0,1.0,405.55,171.624,234.839,0.331,58.086,-8.14,0.0,-782.723,148.747,-238.189,1.426,16.71,33.965,83.499,467.302,-29.919,-51.01,-23.847,-25.426,-14.754,12.25,-25.544,0.294,-9.368,26.759,441.964,128.012,313.952,0.182,0.411,rel_I2S3_out_4_4_complex_0008,I2S3,4,0008
612,-410.004,6.0,1.0,450.064,189.538,261.742,0.547,77.747,-11.171,0.0,-793.053,154.526,-241.962,1.426,16.881,34.63,82.017,482.301,-33.433,-52.159,-26.788,-26.356,-14.399,12.452,-24.789,0.303,-8.761,26.759,385.921,114.711,271.21,0.215,0.187,rel_I2S3_out_4_4_complex_0009,I2S3,4,0009
613,-405.919,3.0,1.0,404.988,173.313,233.196,0.609,68.496,-9.845,0.0,-789.76,151.843,-240.885,1.441,17.1,34.423,84.759,474.004,-32.082,-51.511,-23.857,-26.347,-13.402,13.111,-24.903,0.304,-7.582,26.759,435.9,126.446,309.454,0.228,0.439,rel_I2S3_out_4_4_complex_0010,I2S3,4,0010
614,-413.216,6.0,3.0,495.723,164.896,330.826,0.666,87.289,-12.132,0.0,-787.339,151.461,-244.01,1.424,16.31,34.443,80.093,479.088,-32.791,-51.229,-27.639,-26.672,-14.268,13.041,-24.934,0.309,-7.598,26.759,363.825,138.555,226.182,0.169,0.169,rel_I2S3_out_4_5_complex_0001,I2S3,5,0001
615,-404.247,5.0,3.0,473.944,162.023,311.92,0.654,79.282,-13.164,0.0,-782.258,153.437,-241.115,1.429,16.645,33.286,84.677,470.998,-29.404,-51.326,-27.013,-26.191,-13.692,13.852,-25.962,0.266,-9.201,26.759,400.868,143.754,258.178,0.221,0.345,rel_I2S3_out_4_5_complex_0002,I2S3,5,0002
616,-410.233,5.0,3.0,444.469,139.27,305.2,0.479,80.903,-11.84,0.0,-787.635,155.361,-242.111,1.43,16.941,34.518,80.06,478.989,-31.127,-51.844,-29.77,-26.884,-14.407,12.648,-25.403,0.287,-8.451,26.759,396.764,131.828,266.457,0.225,0.181,rel_I2S3_out_4_5_complex_0003,I2S3,5,0003
